,id,mac_addr,rssi,timestamp,topic
0,-Ly30dKmvrKFp6uI_AlI,80:E1:26:07:C4:0A,-73,2020-01-08 14:20:20.374994,/tgr2020/jan08/data/30
1,-Ly30foOf5I8AA6qwbI5,80:E1:26:07:C4:0A,-89,2020-01-08 14:20:30.492356,/tgr2020/jan08/data/30
2,-Ly30iIxUDognUJImita,80:E1:26:07:D2:6F,-64,2020-01-08 14:20:40.476416,/tgr2020/jan08/data/30
3,-Ly30n52a8GhnKqEu4LS,80:E1:26:07:E3:79,-70,2020-01-08 14:21:00.375758,/tgr2020/jan08/data/30
4,-Ly30pZI4ND53IpVdPXB,80:E1:26:07:D2:6F,-68,2020-01-08 14:21:10.435459,/tgr2020/jan08/data/30
5,-Ly30rz-43sBu_5a4i9v,80:E1:26:07:D2:6F,-56,2020-01-08 14:21:20.393668,/tgr2020/jan08/data/30
6,-Ly31D-6oJHWNnMgZw0n,80:E1:26:07:E3:79,-76,2020-01-08 14:22:50.517374,/tgr2020/jan08/data/30
7,-Ly31KJHpb9NyGYNTbhM,80:E1:26:07:E3:79,-73,2020-01-08 14:23:20.515258,/tgr2020/jan08/data/30
8,-Ly31PFlEThwzTT-u1gX,80:E1:26:07:E3:79,-77,2020-01-08 14:23:40.529026,/tgr2020/jan08/data/30
9,-Ly31o9RALWkQt9pLKV_,80:E1:26:07:E3:79,-69,2020-01-08 14:25:28.199612,/tgr2020/jan08/data/15
10,-Ly31txpzS3fVewtUhdy,80:E1:26:07:E3:79,-76,2020-01-08 14:25:50.639875,/tgr2020/jan08/data/30
11,-Ly31wPkqZ05z_Hue89U,80:E1:26:07:E3:79,-73,2020-01-08 14:26:00.589992,/tgr2020/jan08/data/30
12,-Ly327f6hhcxrO-D0IWs,80:E1:26:07:C4:0A,-80,2020-01-08 14:26:50.838348,/tgr2020/jan08/data/30
13,-Ly327kMJQ77Ff_Zxan_,80:E1:26:07:C4:0A,-80,2020-01-08 14:26:52.634351,/tgr2020/jan08/data/30
14,-Ly32A9n1cHsk_K7BKdK,80:E1:26:07:C4:0A,-68,2020-01-08 14:27:00.778909,/tgr2020/jan08/data/30
15,-Ly32CXLJd673YzT82Gs,80:E1:26:07:C4:0A,-78,2020-01-08 14:27:10.646563,/tgr2020/jan08/data/30
16,-Ly32vtKBpxAusLuYjUZ,80:E1:26:07:E0:F2,-85,2020-01-08 14:30:20.727685,/tgr2020/jan08/data/30
17,-Ly32xYppSEpTVyK-PiL,80:E1:26:07:E0:F2,-71,2020-01-08 14:30:25.159462,/tgr2020/jan08/data/33
18,-Ly32xrSNZwY39Agqo88,80:E1:26:07:D2:6F,-76,2020-01-08 14:30:30.653011,/tgr2020/jan08/data/33
19,-Ly32yM1YR8FzoQCOHni,80:E1:26:07:D2:6F,-58,2020-01-08 14:30:30.758754,/tgr2020/jan08/data/30
20,-Ly33-JD9vbzCborcoIP,80:E1:26:07:D2:6F,-83,2020-01-08 14:30:40.688119,/tgr2020/jan08/data/33
21,-Ly33BwNC4J9r_wIDoTP,80:E1:26:07:D2:6F,-58,2020-01-08 14:31:30.725798,/tgr2020/jan08/data/30
22,-Ly33EQJ6YRB-rXuoLRp,80:E1:26:07:D2:6F,-66,2020-01-08 14:31:40.720607,/tgr2020/jan08/data/30
23,-Ly33GrZJ-qTgUE9mHZc,80:E1:26:07:D2:6F,-66,2020-01-08 14:31:50.717692,/tgr2020/jan08/data/30
24,-Ly33NWx0MVtYSymqtrO,80:E1:26:07:C4:0A,-70,2020-01-08 14:32:10.721585,/tgr2020/jan08/data/30
25,-Ly33Qd5YF9soO3luziI,80:E1:26:07:D2:6F,-69,2020-01-08 14:32:30.760557,/tgr2020/jan08/data/30
26,-Ly33T4aCDsmbwwbeoZL,80:E1:26:07:C4:0A,-71,2020-01-08 14:32:40.755214,/tgr2020/jan08/data/30
27,-Ly33_SDkExXRFo1jIaS,80:E1:26:07:E0:F2,-69,2020-01-08 14:33:10.743750,/tgr2020/jan08/data/30
28,-Ly33bqbcu87IlnnuDAv,80:E1:26:07:C4:0A,-55,2020-01-08 14:33:20.762452,/tgr2020/jan08/data/30
29,-Ly33giUMHszOj3g0DBH,80:E1:26:07:E0:F2,-76,2020-01-08 14:33:40.723771,/tgr2020/jan08/data/30
30,-Ly33jAfKLjHWW8rNJWw,80:E1:26:07:E3:79,-77,2020-01-08 14:33:50.761235,/tgr2020/jan08/data/30
31,-Ly33lar2FTQB4MXAC8y,80:E1:26:07:E3:79,-64,2020-01-08 14:34:02.053374,/tgr2020/jan08/data/30
32,-Ly33lbJ4F1WKA19meEc,80:E1:26:07:E3:79,-64,2020-01-08 14:34:00.735614,/tgr2020/jan08/data/30
33,-Ly33o3Az_0ZuP3F2_m_,80:E1:26:07:E3:79,-75,2020-01-08 14:34:10.742673,/tgr2020/jan08/data/30
34,-Ly33swOOgMCPeiQaMv5,80:E1:26:07:D2:6F,-59,2020-01-08 14:34:30.783972,/tgr2020/jan08/data/30
35,-Ly33t9Ah32PNnCCMGyb,80:E1:26:07:E0:F2,-79,2020-01-08 14:34:33.074358,/tgr2020/jan08/data/30
36,-Ly33xp-IZkhW-1h8c60,80:E1:26:07:D2:6F,-50,2020-01-08 14:34:52.177238,/tgr2020/jan08/data/30
37,-Ly33xp9ujRLL21kMACx,80:E1:26:07:D2:6F,-50,2020-01-08 14:34:50.803369,/tgr2020/jan08/data/30
38,-Ly34-439JNkT4ma7oAz,80:E1:26:07:E0:F2,-73,2020-01-08 14:35:01.218044,/tgr2020/jan08/data/15
39,-Ly34-Flm4oeEChyGk6T,80:E1:26:07:E0:F2,-71,2020-01-08 14:35:00.735700,/tgr2020/jan08/data/30
40,-Ly341hSRbspVSRtgA4I,80:E1:26:07:D2:6F,-55,2020-01-08 14:35:10.741066,/tgr2020/jan08/data/30
